"cptid","cpt_code","descript_short","descript_med","descript_long"
7789,"87255",GENET VIRUS ISOLATE HSV,VIRUS ID NON-IMMUNOLOGIC OTH/THN CYTOPATHIC,"Virus isolation; including identification by non-immunologic method, other than by cytopathic effect (eg, virus specific enzymatic activity)"
7222,"82175",ASSAY OF ARSENIC,ASSAY OF ARSENIC,Arsenic
7877,"88245",CHROMOSOME ANALYSIS 20-25,CHRMSM BREAKAGE BASELINE SISTER 20-25 CLL,"Chromosome analysis for breakage syndromes; baseline Sister Chromatid Exchange (SCE), 20-25 cells"
7334,"85293",CLOT FACTOR WGHT KININOGEN,CLOTTING HI MOLEC WEIGHT KININOGEN ASSAY,Clotting; high molecular weight kininogen assay (Fitzgerald factor assay)
7462,"84112",EVAL AMNIOTIC FLUID PROTEIN,EVAL C/V AMNIOTIC FLUID PROTEIN QUAL EA SPECIMEN,"Evaluation of cervicovaginal fluid for specific amniotic fluid protein(s) (eg, placental alpha microglobulin-1 [PAMG-1], placental protein 12 [PP12], alpha-fetoprotein), qualitative, each specimen"
8021,"89260",SPERM ISOLATION SIMPLE,SPRM ISOL SMPL PREP INSEMINATION/DX SEMEN ALYS,"Sperm isolation; simple prep (eg, sperm wash and swim-up) for insemination or diagnosis with semen analysis"
8149,"90958",ESRD SRV 2-3 VSTS P MO 12-1,ESRD RELATED SVC MONTHLY 12-19 YR OLD 2/3 VISITS,"End-stage renal disease (ESRD) related services monthly, for patients 12-19 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 2-3 face-to-face visits by a physician or other qualified health care professional per month"
7662,"85385",FIBRINOGEN ANTIGEN,FIBRINOGEN ANTIGEN,Fibrinogen; antigen
8193,"91133",ELECTROGASTROGRAPHY W/TEST,ELECTROGASTROGRAPHY DX TRANSCUT W/PROVOCTVE TSTG,"Electrogastrography, diagnostic, transcutaneous; with provocative testing"
111,"01772",ANESTH UPPR ARM EMBOLECTOMY,ANESTHESIA ARTERIES UPPER ARM&ELBOW EMBOLECTOM,Anesthesia for procedures on arteries of upper arm and elbow; embolectomy
239,"11603",EXC TR-EXT MAL+MARG 2.1-3 C,EXCISION MAL LESION TRUNK/ARM/LEG 2.1-3.0 CM/<,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 2.1 to 3.0 cm"
367,"12044",INTMD RPR N-HF/GENIT7.6-12.,REPAIR INTERMEDIATE N/H/F/XTRNL GENT 7.6-12.5CM,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 7.6 cm to 12.5 cm"
8,"00142",ANESTH LENS SURGERY,ANESTHESIA EYE LENS SURGERY,Anesthesia for procedures on eye; lens surgery
136,"01969",ANESTH/ANALG CS HYST ADD-ON,ANES CESARN HYST FLWG NEURAXIAL LABOR ANALG/ANES,Anesthesia for cesarean hysterectomy following neuraxial labor analgesia/anesthesia (List separately in addition to code for primary procedure performed)
571,"28114",REMOVAL OF METATARSAL HEADS,OSTC COMPL ALL METAR HEADS W/PRTL PROX PHALANGC,"Ostectomy, complete excision; all metatarsal heads, with partial proximal phalangectomy, excluding first metatarsal (eg, Clayton type procedure)"
232,"00810",ANESTH LOW INTESTINE SCOPE,ANES LOWER INTESTINE ENDOSCOPY DISTAL DUODENUM,"Anesthesia for lower intestinal endoscopic procedures, endoscope introduced distal to duodenum"
667,"20100",EXPLORE WOUND NECK,EXPLORATION PENETRATING WOUND SPX NECK,Exploration of penetrating wound (separate procedure); neck
795,"15819",PLASTIC SURGERY NECK,CERVICOPLASTY,Cervicoplasty
923,"17283",DESTRUCTION OF SKIN LESIONS,DESTRUCTION MAL LESION F/E/E/N/L/M 2.1-3.0CM,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 2.1 to 3.0 cm"
416,"23105",REMOVE SHOULDER JOINT LININ,ARTHRT GLENOHUMRL JT W/SYNOVECTOMY W/WO BIOPSY,"Arthrotomy; glenohumeral joint, with synovectomy, with or without biopsy"
544,"10121",REMOVE FOREIGN BODY,INCISION & REMOVAL FOREIGN BODY SUBQ TISS COMPL,"Incision and removal of foreign body, subcutaneous tissues; complicated"
979,"20694",REMOVE BONE FIXATION DEVICE,REMOVAL EXTERNAL FIXATION SYSTEM UNDER ANES,"Removal, under anesthesia, of external fixation system"
1107,"21199",RECONSTR LWR JAW W/ADVANCE,OSTEOTOMY MANDIBLE SGMTL W/GENIOGLOSSUS ADVMNT,"Osteotomy, mandible, segmental; with genioglossus advancement"
768,"20924",REMOVAL OF TENDON FOR GRAFT,TENDON GRAFT FROM A DISTANCE,"Tendon graft, from a distance (eg, palmaris, toe extensor, plantaris)"
1195,"25028",DRAINAGE OF FOREARM LESION,I&D FOREARM&/WRIST DEEP ABSCESS/HEMATOMA,"Incision and drainage, forearm and/or wrist; deep abscess or hematoma"
852,"17261",DESTRUCTION OF SKIN LESIONS,DESTRUCTION MAL LESION TRUNK/ARM/LEG 0.6-1.0 CM,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter 0.6 to 1.0 cm"
980,"22802",POST FUSION 7-12 VERT SEG,ARTHRODESIS POSTERIOR SPINAL DFRM 7-12 VRT SEG,"Arthrodesis, posterior, for spinal deformity, with or without cast; 7 to 12 vertebral segments"
1427,"23585",TREAT SCAPULA FRACTURE,OPEN TX SCAPULAR FX W/INTERNAL FIXATION IF PFRMD,"Open treatment of scapular fracture (body, glenoid or acromion) includes internal fixation, when performed"
1060,"21208",AUGMENTATION OF FACIAL BONE,OSTEOPLASTY FACIAL BONES AUGMENTATION,"Osteoplasty, facial bones; augmentation (autograft, allograft, or prosthetic implant)"
1503,"25001",INCISE FLEXOR CARPI RADIALI,INCISION FLEXOR TENDON SHEATH WRIST,"Incision, flexor tendon sheath, wrist (eg, flexor carpi radialis)"
8755,"95954",EEG MONITORING/GIVING DRUGS,RX/PHYSICAL EEG ACTIVAJ PHYS/QHP ATTENDANCE,"Pharmacological or physical activation requiring physician or other qualified health care professional attendance during EEG recording of activation phase (eg, thiopental activation test)"
8883,"99214",OFFICE/OUTPATIENT VISIT EST,OFFICE OUTPATIENT VISIT 25 MINUTES,"Office or other outpatient visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: A detailed history; A detailed examination; Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Typically, 25 minutes are spent face-to-face with the patient and/or family."
8312,"92060",SPECIAL EYE EVALUATION,SENSORMOTOR XM W/MLT MEAS OCULAR DEVIJ W/I&R SPX,"Sensorimotor examination with multiple measurements of ocular deviation (eg, restrictive or paretic muscle with diplopia) with interpretation and report (separate procedure)"
8975,"97035",ULTRASOUND THERAPY,APPL MODALITY 1/> AREAS ULTRASOUND EA 15 MIN,"Application of a modality to 1 or more areas; ultrasound, each 15 minutes"
8460,"90666",FLU VAC PANDEM PRSRV FREE I,INFLUENZA VACCINE PANDEMIC SPLT PRSRV FREE IM,"Influenza virus vaccine, pandemic formulation, split virus, preservative free, for intramuscular use"
9071,"0521F",PLAN OF CARE 4 PAIN DOCD,PLAN OF CARE TO ADDRESS PAIN DOCUMENTED,Plan of care to address pain documented (COA) (ONC)
8608,"92586",AUDITOR EVOKE POTENT LIMIT,AUDITORY EVOKED POTENTIALS LIMITED,Auditory evoked potentials for evoked response audiometry and/or testing of the central nervous system; limited
9199,"3011F",LIPID PANEL DOC REV,LIPID PANEL RESULTS DOCUMENTED & REVIEWED,"Lipid panel results documented and reviewed (must include total cholesterol, HDL-C, triglycerides and calculated LDL-C) (CAD)"
8772,"95117",IMMUNOTHERAPY INJECTIONS,PROF SVCS ALLG IMMNTX X W/PRV ALLGIC XTRCS NJXS,Professional services for allergen immunotherapy not including provision of allergenic extracts; 2 or more injections
8900,"96150",ASSESS HLTH/BEHAVE INIT,HLTH&BEHAVIOR ASSMT EA 15 MIN W/PT 1ST ASSMT,"Health and behavior assessment (eg, health-focused clinical interview, behavioral observations, psychophysiological monitoring, health-oriented questionnaires), each 15 minutes face-to-face with the patient; initial assessment"
9339,"4171F",PT RCVNG ESA THXPY,PATIENT RECEIVING (ESA) THERAPY,Patient receiving erythropoiesis-stimulating agents (ESA) therapy (CKD)
8976,"99027",OUT-OF-HOSP ON CALL SERVICE,HOSPITAL MANDATED CALL SVC OUT-OF-HOSPITAL EA HR,"Hospital mandated on call service; out-of-hospital, each hour"
9471,"3100F",IMAGE TEST REF CAROT DIAM,CAROTID IMAGNG REPORT DIR/INDIR MEAS VESSEL DIAM,"Carotid imaging study report (includes direct or indirect reference to measurements of distal internal carotid diameter as the denominator for stenosis measurement) (STR, RAD)"
9052,"99349",HOME VISIT EST PATIENT,HOME VISIT EST PT MOD-HI SEVERITY 40 MINUTES,"Home visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: A detailed interval history; A detailed examination; Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are moderate to high severity. Typically, 40 minutes are spent face-to-face with the patient and/or family."
9655,"0331T",HEART SYMP IMAGE PLNR,MYOCRD SYMPATHETIC INNERVAJ IMG PLNR QUAL&QUANT,"Myocardial sympathetic innervation imaging, planar qualitative and quantitative assessment;"
9172,"99204",OFFICE/OUTPATIENT VISIT NEW,OFFICE OUTPATIENT NEW 45 MINUTES,"Office or other outpatient visit for the evaluation and management of a new patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Typically, 45 minutes are spent face-to-face with the patient and/or family."
9791,"0107T",VIBRATE QUANT SENSORY TEST,QUANT SENSORY TEST&INTERPJ/XTR W/VIBRJ STIMULI,"Quantitative sensory testing (QST), testing and interpretation per extremity; using vibration stimuli to assess large diameter fiber sensation"
125,"01925",ANES THER INTERVEN RAD CARD,ANESTHESIA CAROTID/CORONARY THER IVNTL RAD,Anesthesia for therapeutic interventional radiological procedures involving the arterial system; carotid or coronary
253,"11752",REMOVE NAIL BED/TIP,EXC NAIL MATRIX PRM RMVL W/AMP TUFT DSTL PHALANX,"Excision of nail and nail matrix, partial or complete (eg, ingrown or deformed nail), for permanent removal; with amputation of tuft of distal phalanx"
381,"14020",TIS TRNFR S/A/L 10 SQ CM/<,ADJT TIS TRNSFR/REARGMT SCALP/ARM/LEG 10 SQ CM/<,"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10 sq cm or less"
34,"00524",ANESTH CHEST DRAINAGE,ANESTHESIA CLOSED CHEST PNEUMOCENTESIS,Anesthesia for closed chest procedures; pneumocentesis
162,"23180",REMOVE COLLAR BONE LESION,PARTIAL EXCISION BONE CLAVICLE,"Partial excision (craterization, saucerization, or diaphysectomy) bone (eg, osteomyelitis), clavicle"
593,"11006",DEBRIDE GENIT/PER/ABDOM WAL,DBRDMT SKN SUBQ T/M/F NECRO INFCTJ GENT/ABDL,"Debridement of skin, subcutaneous tissue, muscle and fascia for necrotizing soft tissue infection; external genitalia, perineum and abdominal wall, with or without fascial closure"
266,"28116",REVISION OF FOOT,OSTECTOMY TARSAL COALITION,"Ostectomy, excision of tarsal coalition"
681,"20611",DRAIN/INJ JOINT/BURSA W/US,ARTHROCENTESIS ASPIR&/INJ MAJOR JT/BURSA W/US,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); with ultrasound guidance, with permanent recording and reporting"
362,"01462",ANESTH LOWER LEG PROCEDURE,ANESTHESIA CLOSED PROC LOWER LEG ANKLE & FOOT,"Anesthesia for all closed procedures on lower leg, ankle, and foot"
490,"15787",ABRASION LESIONS ADD-ON,ABRASION EACH ADDITIONAL 4 LESIONS OR LESS,Abrasion; each additional 4 lesions or less (List separately in addition to code for primary procedure)
897,"15920",REMOVAL OF TAIL BONE ULCER,EXC COCCYGEAL PR ULC W/COCCYGECTOMY W/PRIM SUTR,"Excision, coccygeal pressure ulcer, with coccygectomy; with primary suture"
1025,"23470",RECONSTRUCT SHOULDER JOINT,ARTHROPLASTY GLENOHUMRL JT HEMIARTHROPLASTY,"Arthroplasty, glenohumeral joint; hemiarthroplasty"
542,"10081",DRAINAGE OF PILONIDAL CYST,INCISION & DRAINAGE PILONIDAL CYST COMPLICATED,Incision and drainage of pilonidal cyst; complicated
670,"20662",APPLICATION OF PELVIS BRACE,APPLICATION HALO PELVIC INCLUDING REMOVAL,"Application of halo, including removal; pelvic"
798,"21151",LEFORT II W/BONE GRAFTS,RCNSTJ MIDFACE LEFORT II W/BONE GRAFTS,"Reconstruction midface, LeFort II; any direction, requiring bone grafts (includes obtaining autografts)"
1209,"25130",REMOVAL OF WRIST LESION,EXCISION/CURETTAGE CYST/TUMOR CARPAL BONES,Excision or curettage of bone cyst or benign tumor of carpal bones;
878,"19112",EXCISE BREAST DUCT FISTULA,EXCISION LACTIFEROUS DUCT FISTULA,Excision of lactiferous duct fistula
1317,"23455",REPAIR SHOULDER CAPSULE,CAPSULORRHAPHY ANTERIOR W/LABRAL REPAIR,"Capsulorrhaphy, anterior; with labral repair (eg, Bankart procedure)"
1445,"24101",EXPLORE/TREAT ELBOW JOINT,ARTHRT ELBOW W/JNT EXPL W/WOBX W/WORMVL LOOSE/FB,"Arthrotomy, elbow; with joint exploration, with or without biopsy, with or without removal of loose or foreign body"
1090,"23020",RELEASE SHOULDER JOINT,CAPSULAR CONTRACTURE RELEASE,"Capsular contracture release (eg, Sever type procedure)"
1525,"27059",RESECT HIP/PELV TUM 5 CM/>,RAD RESECTION TUMOR SOFT TISS PELVIS&HIP 5 CM/>,"Radical resection of tumor (eg, sarcoma), soft tissue of pelvis and hip area; 5 cm or greater"
1170,"24587",TREAT ELBOW FRACTURE,OPTX PRIARTICULAR FX&/DISLC ELBW W/IMPLT ARTHR,Open treatment of periarticular fracture and/or dislocation of the elbow (fracture distal humerus and proximal ulna and/or proximal radius); with implant arthroplasty
1298,"25335",REALIGNMENT OF HAND,CENTRALIZATION WRST ULNA,"Centralization of wrist on ulna (eg, radial club hand)"
1753,"27686",REVISE LOWER LEG TENDONS,LNGTH/SHRT TDN LEG/ANKLE MLT TDN SAME INC EA,"Lengthening or shortening of tendon, leg or ankle; multiple tendons (through same incision), each"
1881,"27892",DECOMPRESSION OF LEG,DCMPRN FASCT LEG ANT&/LAT W/DBRDMT MUSC&/NERVE,"Decompression fasciotomy, leg; anterior and/or lateral compartments only, with debridement of nonviable muscle and/or nerve"
2009,"27392",INCISION OF THIGH TENDONS,TENOTOMY OPEN HAMSTRING KNEE HIP MULTIPLE BI,"Tenotomy, open, hamstring, knee to hip; multiple tendons, bilateral"
1438,"24576",TREAT HUMERUS FRACTURE,CLTX HUMERAL CONDYLAR FX MEDIAL/LAT W/O MANJ,"Closed treatment of humeral condylar fracture, medial or lateral; without manipulation"
1566,"25151",PARTIAL REMOVAL OF RADIUS,PARTIAL EXCISION BONE RADIUS,"Partial excision (craterization, saucerization, or diaphysectomy) of bone (eg, for osteomyelitis); radius"
2029,"27465",SHORTENING OF THIGH BONE,OSTEOPLASTY FEMUR SHORTENING EXCLUDING 64876,"Osteoplasty, femur; shortening (excluding 64876)"
2157,"27596",AMPUTATION FOLLOW-UP SURGER,AMPUTATION THIGH THROUGH FEMUR RE-AMPUTATION,"Amputation, thigh, through femur, any level; re-amputation"
1762,"26510",THUMB TENDON TRANSFER,CROSS INTRINSIC TRANSFER EACH TENDON,"Cross intrinsic transfer, each tendon"
2225,"28046",RESECT FOOT/TOE TUMOR < 3 C,RAD RESECTION TUMOR SOFT TISSUE FOOT/TOE <3CM,"Radical resection of tumor (eg, sarcoma), soft tissue of foot or toe; less than 3 cm"
2353,"31390",REMOVAL OF LARYNX & PHARYNX,PHARYNGOLARYNGECTOMY W/RAD NECK DSJ W/O RCNSTJ,"Pharyngolaryngectomy, with radical neck dissection; without reconstruction"
1950,"27331",EXPLORE/TREAT KNEE JOINT,ARTHRT KNE W/JT EXPL BX/RMVL LOOSE/FB,"Arthrotomy, knee; including joint exploration, biopsy, or removal of loose or foreign bodies"
2433,"31800",REPAIR OF WINDPIPE INJURY,SUTURE TRACHEAL WOUND/INJURY CERVICAL,Suture of tracheal wound or injury; cervical
2561,"32556",INSERT CATH PLEURA W/O IMAG,PERQ DRAINAGE PLEURA INSERT CATH W/O IMAGING,"Pleural drainage, percutaneous, with insertion of indwelling catheter; without imaging guidance"
2689,"31578",REMOVAL OF LARYNX LESION,LARYNGOSCOPY FLEXIBLE FIBEROPTIC REMOVAL LESION,"Laryngoscopy, flexible fiberoptic; with removal of lesion"
2114,"27605",INCISION OF ACHILLES TENDON,TENOTOMY PRQ ACHILLES TENDON SPX LOCAL ANES,"Tenotomy, percutaneous, Achilles tendon (separate procedure); local anesthesia"
2757,"33813",REPAIR SEPTAL DEFECT,OBLTRJ AORTOPULMONARY SEPTAL DEFECT W/O BYPASS,Obliteration of aortopulmonary septal defect; without cardiopulmonary bypass
2885,"34520",CROSS-OVER VEIN GRAFT,CROSS-OVER VEIN GRAFT VENOUS SYSTEM,Cross-over vein graft to venous system
2350,"31579",DIAGNOSTIC LARYNGOSCOPY,LARYNGOSCOPY FLX/RGD FIBOPT W/STROBOSCOPY,"Laryngoscopy, flexible or rigid fiberoptic, with stroboscopy"
2965,"33501",REPAIR HEART VESSEL FISTULA,RPR CORONARY AV/ARTERIOCAR CHMBR FSTL W/O BYPASS,Repair of coronary arteriovenous or arteriocardiac chamber fistula; without cardiopulmonary bypass
2446,"29740",WEDGING OF CAST,WEDGING CAST EXCEPT CLUBFOOT CASTS,Wedging of cast (except clubfoot casts)
2574,"30462",REVISION OF NOSE,RHINP DFRM COLUM LNGTH TIP SEPTUM OSTEOT,"Rhinoplasty for nasal deformity secondary to congenital cleft lip and/or palate, including columellar lengthening; tip, septum, osteotomies"
3153,"34846",VISC & INFRAREN ABD 2 PROST,VISCER AND INFRARENAL ABDOM AORTA 2 PROSTHESIS,"Endovascular repair of visceral aorta and infrarenal abdominal aorta (eg, aneurysm, pseudoaneurysm, dissection, penetrating ulcer, intramural hematoma, or traumatic disruption) with a fenestrated visceral aortic endograft and concomitant unibody or modular infrarenal aortic endograft and all associated radiological supervision and interpretation, including target zone angioplasty, when performed; including two visceral artery endoprostheses (superior mesenteric, celiac and/or renal artery[s])"
2702,"33600",CLOSURE OF VALVE,CLOSURE ATRIOVENTRICULAR VALVE SUTURE/PATCH,Closure of atrioventricular valve (mitral or tricuspid) by suture or patch
3245,"38230",BONE MARROW HARVEST ALLOGEN,BONE MARROW HARVEST TRANSPLANTATION ALLOGENEIC,Bone marrow harvesting for transplantation; allogeneic
2794,"32484",SEGMENTECTOMY,RMVL LUNG OTHER THAN PNEUMONECT 1 SEGMENTECTOMY,"Removal of lung, other than pneumonectomy; single segment (segmentectomy)"
2922,"33238",REMOVE ELECTRODE/THORACOTOM,RMVL PRM TRANSVENOUS ELECTRODE THORACOTOMY,Removal of permanent transvenous electrode(s) by thoracotomy
3469,"36818",AV FUSE UPPR ARM CEPHALIC,ARVEN ANAST OPN UPR ARM CEPHALIC VEIN TRPOS,"Arteriovenous anastomosis, open; by upper arm cephalic vein transposition"
2998,"35305",RECHANNELING OF ARTERY,TEAEC W/GRAFT TIBIAL/PERONEAL ART 1ST VESSEL,"Thromboendarterectomy, including patch graft, if performed; tibial or peroneal artery, initial vessel"
3126,"34501",REPAIR VALVE FEMORAL VEIN,VALVULOPLASTY FEMORAL VEIN,"Valvuloplasty, femoral vein"
3557,"43249",ESOPH EGD DILATION <30 MM,EGD BALLOON DILATION ESOPHAGUS <30 MM DIAM,"Esophagogastroduodenoscopy, flexible, transoral; with transendoscopic balloon dilation of esophagus (less than 30 mm diameter)"
3685,"41870",GUM GRAFT,PERIODONTAL MUCOSAL GRAFTING,Periodontal mucosal grafting
3813,"42806",BIOPSY OF UPPER NOSE/THROAT,BX NASOPHARYNX SURVEY UNKNOWN PRIMARY LESION,"Biopsy; nasopharynx, survey for unknown primary lesion"
3306,"37609",TEMPORAL ARTERY PROCEDURE,LIGATION/BIOPSY TEMPORAL ARTERY,"Ligation or biopsy, temporal artery"
3897,"43810",FUSION OF STOMACH AND BOWEL,GASTRODUODENOSTOMY,Gastroduodenostomy
4025,"47143",PREP DONOR LIVER WHOLE,BKBENCH PREP CADAVER DONOR,"Backbench standard preparation of cadaver donor whole liver graft prior to allotransplantation, including cholecystectomy, if necessary, and dissection and removal of surrounding soft tissues to prepare the vena cava, portal vein, hepatic artery, and common bile duct for implantation; without trisegment or lobe split"
3514,"43122",PARTIAL REMOVAL OF ESOPHAGU,PRTL ESOPHG THORACOABD W/WO PROXGASTREC/PYLOROPL,"Partial esophagectomy, thoracoabdominal or abdominal approach, with or without proximal gastrectomy; with esophagogastrostomy, with or without pyloroplasty"
3642,"43360",GASTROINTESTINAL REPAIR,GI RCNSTJ PREV ESPHG/EXCLUSION W/STOMACH,"Gastrointestinal reconstruction for previous esophagectomy, for obstructing esophageal lesion or fistula, or for previous esophageal exclusion; with stomach, with or without pyloroplasty"
4093,"49651",LAP ING HERNIA REPAIR RECUR,LAPS SURG RPR RECURRENT INGUINAL HERNIA,"Laparoscopy, surgical; repair recurrent inguinal hernia"
3718,"40844",RECONSTRUCTION OF MOUTH,VESTIBULOPLASTY ENTIRE ARCH,Vestibuloplasty; entire arch
3846,"45113",PARTIAL PROCTECTOMY,PRCTECT PRTL W/MUCOSEC ILEOANAL ANAST RSVR,"Proctectomy, partial, with rectal mucosectomy, ileoanal anastomosis, creation of ileal reservoir (S or J), with or without loop ileostomy"
4313,"52352",CYSTOURETERO W/STONE REMOVE,CYSTO W/URETEROSCOPY W/RMVL/MANJ STONES,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with removal or manipulation of calculus (ureteral catheterization is included)"
4441,"53899",UROLOGY SURGERY PROCEDURE,UNLISTED PROCEDURE URINARY SYSTEM,"Unlisted procedure, urinary system"
4569,"50976",URETER ENDOSCOPY & TREATMEN,URETERAL ENDOSC VIA URETEROT W/DEST&/INC W/WO BX,"Ureteral endoscopy through ureterotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with fulguration and/or incision, with or without biopsy"
3998,"46700",REPAIR OF ANAL STRICTURE,ANOPLASTY PLASTIC OPERATION STRICTURE ADULT,"Anoplasty, plastic operation for stricture; adult"
4649,"53601",DILATE URETHRA STRICTURE,DILAT URETHRAL STRIX DILATOR MALE SBSQ,"Dilation of urethral stricture by passage of sound or urethral dilator, male; subsequent"
4082,"44369",SMALL BOWEL ENDOSCOPY,ENTEROSCOPY > 2ND PRTN ABLTJ LESION,"Small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with ablation of tumor(s), polyp(s), or other lesion(s) not amenable to removal by hot biopsy forceps, bipolar cautery or snare technique"
4210,"49999",ABDOMEN SURGERY PROCEDURE,UNLISTED PROCEDURE ABDOMEN PERITONEUM & OMENTUM,"Unlisted procedure, abdomen, peritoneum and omentum"
4873,"54440",REPAIR OF PENIS,PLASTIC OPERATION PENIS INJURY,Plastic operation of penis for injury
4286,"47140",PARTIAL REMOVAL DONOR LIVER,DONOR HEPATECTOMY LIVING DONOR SEG II & III,"Donor hepatectomy (including cold preservation), from living donor; left lateral segment only (segments II and III)"
4957,"57423",REPAIR PARAVAG DEFECT LAP,PARAVAGINAL DEFECT REPAIR LAPAROSCOPIC APPROACH,"Paravaginal defect repair (including repair of cystocele, if performed), laparoscopic approach"
5085,"58671",LAPAROSCOPY TUBAL BLOCK,LAPAROSCOPY W/PLMT OCCLUSION DEVICE OVIDUCTS,"Laparoscopy, surgical; with occlusion of oviducts by device (eg, band, clip, or Falope ring)"
4502,"53000",INCISION OF URETHRA,URTT/URTS XTRNL SPX PENDULOUS URETHRA,"Urethrotomy or urethrostomy, external (separate procedure); pendulous urethra"
5173,"62264",EPIDURAL LYSIS ON SINGLE DA,PRQ LYSIS EPIDURAL ADHESIONS MULT SESSIONS 1 DAY,"Percutaneous lysis of epidural adhesions using solution injection (eg, hypertonic saline, enzyme) or mechanical means (eg, catheter) including radiologic localization (includes contrast when administered), multiple adhesiolysis sessions; 1 day"
4594,"50690",INJECTION FOR URETER X-RAY,NJX VISUALIZATION ILEAL CONDUIT&/URETEROPYELOG,"Injection procedure for visualization of ileal conduit and/or ureteropyelography, exclusive of radiologic service"
4722,"57305",REPAIR RECTUM-VAGINA FISTUL,CLSR RECTOVAGINAL FISTULA ABDOMINAL APPROACH,Closure of rectovaginal fistula; abdominal approach
5369,"82803",BLOOD GASES ANY COMBINATION,BLOOD GASES ANY COMBINATION PH PCO2 PO2 CO2 HCO3,"Gases, blood, any combination of pH, pCO2, pO2, CO2, HCO3 (including calculated O2 saturation);"
4830,"54522",ORCHIECTOMY PARTIAL,ORCHIECTOMY PARTIAL,"Orchiectomy, partial"
5449,"64782",REMOVE LIMB NERVE LESION,EXC NEUROMA HAND/FOOT XCP DIGITAL NERVE,"Excision of neuroma; hand or foot, except digital nerve"
4930,"60240",REMOVAL OF THYROID,THYROIDECTOMY TOTAL/COMPLETE,"Thyroidectomy, total or complete"
5058,"61333",EXPLORE ORBIT/REMOVE LESION,EXPL ORBIT TRANSCRANIAL APPROACH W/RMVL LESION,Exploration of orbit (transcranial approach); with removal of lesion
5649,"67800",REMOVE EYELID LESION,EXCISION CHALAZION SINGLE,Excision of chalazion; single
5130,"58662",LAPAROSCOPY EXCISE LESIONS,LAPS FULG/EXC OVARY VISCERA/PERITONEAL SURFACE,"Laparoscopy, surgical; with fulguration or excision of lesions of the ovary, pelvic viscera, or peritoneal surface by any method"
5258,"62000",TREAT SKULL FRACTURE,ELEVATION DEPRESSED SKULL FX SIMPLE EXTRADURAL,"Elevation of depressed skull fracture; simple, extradural"
5853,"70160",X-RAY EXAM OF NASAL BONES,RADEX NASAL BONES COMPLETE MINIMUM 3 VIEWS,"Radiologic examination, nasal bones, complete, minimum of 3 views"
5318,"61526",REMOVAL OF BRAIN LESION,CRNEC TRANSTEMPOR EXC CEREBELLOPONTINE ANGLE TUM,"Craniectomy, bone flap craniotomy, transtemporal (mastoid) for excision of cerebellopontine angle tumor;"
5965,"67316",REVISE TWO EYE MUSCLES,STRABISMUS RECESSION/RESCJ 2/MORE VER MUSC,"Strabismus surgery, recession or resection procedure; 2 or more vertical muscles (excluding superior oblique)"
6093,"67973",RECONSTRUCTION OF EYELID,RCNSTJ EYELID FULL THICKNESS LOWER EYELID 1 STG,"Reconstruction of eyelid, full thickness by transfer of tarsoconjunctival flap from opposing eyelid; total eyelid, lower, 1 stage or first stage"
5522,"64495",INJ PARAVERT F JNT L/S 3 LE,NJX DX/THER AGT PVRT FACET JT LMBR/SAC 3+ LEVEL,"Injection(s), diagnostic or therapeutic agent, paravertebral facet (zygapophyseal) joint (or nerves innervating that joint) with image guidance (fluoroscopy or CT), lumbar or sacral; third and any additional level(s) (List separately in addition to code for primary procedure)"
6161,"73020",X-RAY EXAM OF SHOULDER,RADEX SHOULDER 1 VIEW,"Radiologic examination, shoulder; 1 view"
6289,"74329",X-RAY FOR PANCREAS ENDOSCOP,ENDOSCOPIC CATHJ PANCREATIC DUCTAL SYS RS&I,"Endoscopic catheterization of the pancreatic ductal system, radiological supervision and interpretation"
5730,"67255",REINFORCE/GRAFT EYE WALL,SCLERAL REINFORCEMENT SPX W/GRAFT,Scleral reinforcement (separate procedure); with graft
